id,firstname,surname,year,category,affiliation,city,country,born_date,died_date,gender,born_city,born_country,born_country_code,died_city,died_country,died_country_code,overall_motivation,share,motivation,born_country_original,born_city_original,died_country_original,died_city_original,city_original,country_original
733,Daniel L.,McFadden,2000,Economics,University of California,Berkeley CA,USA,1937-07-29,NA,male,Raleigh NC,USA,US,NA,NA,NA,NA,2,"""for his development of theory and methods for analyzing discrete choice""",USA,Raleigh NC,NA,NA,Berkeley CA,USA
734,Gao,Xingjian,2000,Literature,NA,NA,NA,1940-01-04,NA,male,Ganzhou,China,CN,NA,NA,NA,NA,1,"""for an &aelig;uvre of universal validity bitter insights and linguistic ingenuity which has opened new paths for the Chinese novel and drama""",China,Ganzhou,NA,NA,NA,NA
735,Leland,Hartwell,2001,Medicine,Fred Hutchinson Cancer Research Center,Seattle WA,USA,1939-10-30,NA,male,Los Angeles CA,USA,US,NA,NA,NA,NA,3,"""for their discoveries of key regulators of the cell cycle""",USA,Los Angeles CA,NA,NA,Seattle WA,USA
736,Tim,Hunt,2001,Medicine,Imperial Cancer Research Fund,London,United Kingdom,1943-02-19,NA,male,Neston,United Kingdom,GB,NA,NA,NA,NA,3,"""for their discoveries of key regulators of the cell cycle""",United Kingdom,Neston,NA,NA,London,United Kingdom
737,Sir Paul,Nurse,2001,Medicine,Imperial Cancer Research Fund,London,United Kingdom,1949-01-25,NA,male,Norwich,United Kingdom,GB,NA,NA,NA,NA,3,"""for their discoveries of key regulators of the cell cycle""",United Kingdom,Norwich,NA,NA,London,United Kingdom
744,George A.,Akerlof,2001,Economics,University of California,Berkeley CA,USA,1940-06-17,NA,male,New Haven CT,USA,US,NA,NA,NA,NA,3,"""for their analyses of markets with asymmetric information""",USA,New Haven CT,NA,NA,Berkeley CA,USA
745,A. Michael,Spence,2001,Economics,Stanford University,Stanford CA,USA,NA,NA,male,Montclair NJ,USA,US,NA,NA,NA,NA,3,"""for their analyses of markets with asymmetric information""",USA,Montclair NJ,NA,NA,Stanford CA,USA
746,Joseph E.,Stiglitz,2001,Economics,Columbia University,New York NY,USA,1943-02-09,NA,male,Gary IN,USA,US,NA,NA,NA,NA,3,"""for their analyses of markets with asymmetric information""",USA,Gary IN,NA,NA,New York NY,USA
747,V. S.,Naipaul,2001,Literature,NA,NA,NA,1932-08-17,2018-08-11,male,NA,NA,NA,London,United Kingdom,GB,NA,1,"""for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories""",NA,NA,United Kingdom,London,NA,NA
748,United Nations,NA,2001,Peace,NA,NA,NA,NA,NA,org,NA,NA,NA,NA,NA,NA,NA,2,"""for their work for a better organized and more peaceful world""",NA,NA,NA,NA,NA,NA
749,Kofi,Annan,2001,Peace,NA,NA,NA,1938-04-08,2018-08-18,male,Kumasi,Ghana,GH,Bern,Switzerland,CH,NA,2,"""for their work for a better organized and more peaceful world""",Gold Coast (now Ghana),Kumasi,Switzerland,Bern,NA,NA
750,Sydney,Brenner,2002,Medicine,The Molecular Sciences Institute,Berkeley CA,USA,1927-01-13,2019-04-05,male,Germiston,South Africa,ZA,NA,Singapore,SG,NA,3,"""for their discoveries concerning genetic regulation of organ development and programmed cell death'""",South Africa,Germiston,Singapore,NA,Berkeley CA,USA
751,H. Robert,Horvitz,2002,Medicine,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,1947-05-08,NA,male,Chicago IL,USA,US,NA,NA,NA,NA,3,"""for their discoveries concerning genetic regulation of organ development and programmed cell death'""",USA,Chicago IL,NA,NA,Cambridge MA,USA
752,John E.,Sulston,2002,Medicine,The Wellcome Trust Sanger Institute,Cambridge,United Kingdom,1942-03-27,2018-03-06,male,Cambridge,United Kingdom,GB,NA,NA,NA,NA,3,"""for their discoveries concerning genetic regulation of organ development and programmed cell death'""",United Kingdom,Cambridge,NA,NA,Cambridge,United Kingdom
759,Daniel,Kahneman,2002,Economics,Princeton University,Princeton NJ,USA,1934-03-05,NA,male,Tel Aviv,Israel,IL,NA,NA,NA,NA,2,"""for having integrated insights from psychological research into economic science especially concerning human judgment and decision-making under uncertainty""",British Mandate of Palestine (now Israel),Tel Aviv,NA,NA,Princeton NJ,USA
760,Vernon L.,Smith,2002,Economics,George Mason University,Fairfax VA,USA,1927-01-01,NA,male,Wichita KS,USA,US,NA,NA,NA,NA,2,"""for having established laboratory experiments as a tool in empirical economic analysis especially in the study of alternative market mechanisms""",USA,Wichita KS,NA,NA,Fairfax VA,USA
761,Imre,Kertész,2002,Literature,NA,NA,NA,1929-11-09,2016-03-31,male,Budapest,Hungary,HU,Budapest,Hungary,HU,NA,1,"""for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history""",Hungary,Budapest,Hungary,Budapest,NA,NA
762,Jimmy,Carter,2002,Peace,NA,NA,NA,1924-10-01,NA,male,Plains GA,USA,US,NA,NA,NA,NA,1,"""for his decades of untiring effort to find peaceful solutions to international conflicts to advance democracy and human rights and to promote economic and social development""",USA,Plains GA,NA,NA,NA,NA
763,J. M.,Coetzee,2003,Literature,NA,NA,NA,1940-02-09,NA,male,Cape Town,South Africa,ZA,NA,NA,NA,NA,1,"""who in innumerable guises portrays the surprising involvement of the outsider""",South Africa,Cape Town,NA,NA,NA,NA
764,Paul C.,Lauterbur,2003,Medicine,University of Illinois,Urbana IL,USA,1929-05-06,2007-03-27,male,Sidney OH,USA,US,Urbana IL,USA,US,NA,2,"""for their discoveries concerning magnetic resonance imaging""",USA,Sidney OH,USA,Urbana IL,Urbana IL,USA
765,Sir Peter,Mansfield,2003,Medicine,University of Nottingham School of Physics and Astronomy,Nottingham,United Kingdom,1933-10-09,2017-02-08,male,London,United Kingdom,GB,NA,NA,NA,NA,2,"""for their discoveries concerning magnetic resonance imaging""",United Kingdom,London,NA,NA,Nottingham,United Kingdom
771,Robert F.,Engle III,2003,Economics,New York University,New York NY,USA,1942-11-10,NA,male,Syracuse NY,USA,US,NA,NA,NA,NA,2,"""for methods of analyzing economic time series with time-varying volatility (ARCH)""",USA,Syracuse NY,NA,NA,New York NY,USA
772,Clive W.J.,Granger,2003,Economics,University of California,San Diego CA,USA,1934-09-04,2009-05-27,male,Swansea,United Kingdom,GB,San Diego CA,USA,US,NA,2,"""for methods of analyzing economic time series with common trends (cointegration)""",United Kingdom,Swansea,USA,San Diego CA,San Diego CA,USA
773,Shirin,Ebadi,2003,Peace,NA,NA,NA,1947-06-21,NA,female,Hamadan,Iran,IR,NA,NA,NA,NA,1,"""for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children""",Iran,Hamadan,NA,NA,NA,NA
774,Richard,Axel,2004,Medicine,Columbia University,New York NY,USA,1946-07-02,NA,male,New York NY,USA,US,NA,NA,NA,NA,2,"""for their discoveries of odorant receptors and the organization of the olfactory system""",USA,New York NY,NA,NA,New York NY,USA
775,Linda B.,Buck,2004,Medicine,Fred Hutchinson Cancer Research Center,Seattle WA,USA,1947-01-29,NA,female,Seattle WA,USA,US,NA,NA,NA,NA,2,"""for their discoveries of odorant receptors and the organization of the olfactory system""",USA,Seattle WA,NA,NA,Seattle WA,USA
782,Elfriede,Jelinek,2004,Literature,NA,NA,NA,1946-10-20,NA,female,Mürzzuschlag,Austria,AT,NA,NA,NA,NA,1,"""for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clich&eacute;s and their subjugating power""",Austria,Mürzzuschlag,NA,NA,NA,NA
783,Wangari,Maathai,2004,Peace,NA,NA,NA,1940-04-01,2011-09-25,female,Nyeri,Kenya,KE,Nairobi,Kenya,KE,NA,1,"""for her contribution to sustainable development democracy and peace""",Kenya,Nyeri,Kenya,Nairobi,NA,NA
786,Finn E.,Kydland,2004,Economics,Carnegie Mellon University,Pittsburgh PA,USA,1943-12-01,NA,male,Gjesdal,Norway,NO,NA,NA,NA,NA,2,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",Norway,Gjesdal,NA,NA,Pittsburgh PA,USA
787,Edward C.,Prescott,2004,Economics,Arizona State University,Tempe AZ,USA,1940-12-26,NA,male,Glens Falls NY,USA,US,NA,NA,NA,NA,2,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",USA,Glens Falls NY,NA,NA,Tempe AZ,USA
789,Barry J.,Marshall,2005,Medicine,NHMRC Helicobacter pylori Research Laboratory QEII Medical Centre,Nedlands,Australia,1951-09-30,NA,male,Kalgoorlie,Australia,AU,NA,NA,NA,NA,2,"""for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease""",Australia,Kalgoorlie,NA,NA,Nedlands,Australia
790,J. Robin,Warren,2005,Medicine,NA,NA,NA,1937-06-11,NA,male,Adelaide,Australia,AU,NA,NA,NA,NA,2,"""for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease""",Australia,Adelaide,NA,NA,NA,NA
797,International Atomic Energy Agency,NA,2005,Peace,NA,NA,NA,NA,NA,org,NA,NA,NA,NA,NA,NA,NA,2,"""for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way""",NA,NA,NA,NA,NA,NA
798,Mohamed,ElBaradei,2005,Peace,NA,NA,NA,1942-06-17,NA,male,Cairo,Egypt,EG,NA,NA,NA,NA,2,"""for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way""",Egypt,Cairo,NA,NA,NA,NA
799,Robert J.,Aumann,2005,Economics,University of Jerusalem Center for RationalityHebrew,Jerusalem,Israel,1930-06-08,NA,male,Frankfurt-on-the-Main,Germany,DE,NA,NA,NA,NA,2,"""for having enhanced our understanding of conflict and cooperation through game-theory analysis""",Germany,Frankfurt-on-the-Main,NA,NA,Jerusalem,Israel
800,Thomas C.,Schelling,2005,Economics,University of Maryland Department of Economics and School of Public Policy,College Park MD,USA,1921-04-14,2016-12-13,male,Oakland CA,USA,US,Bethesda MD,USA,US,NA,2,"""for having enhanced our understanding of conflict and cooperation through game-theory analysis""",USA,Oakland CA,USA,Bethesda MD,College Park MD,USA
801,Harold,Pinter,2005,Literature,NA,NA,NA,1930-10-10,2008-12-24,male,London,United Kingdom,GB,London,United Kingdom,GB,NA,1,"""who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms""",United Kingdom,London,United Kingdom,London,NA,NA
802,Andrew Z.,Fire,2006,Medicine,Stanford University School of Medicine,Stanford CA,USA,1959-04-27,NA,male,Stanford CA,USA,US,NA,NA,NA,NA,2,"""for their discovery of RNA interference - gene silencing by double-stranded RNA""",USA,Stanford CA,NA,NA,Stanford CA,USA
803,Craig C.,Mello,2006,Medicine,University of Massachusetts Medical School,Worcester MA,USA,1960-10-19,NA,male,New Haven CT,USA,US,NA,NA,NA,NA,2,"""for their discovery of RNA interference - gene silencing by double-stranded RNA""",USA,New Haven CT,NA,NA,Worcester MA,USA
807,Edmund S.,Phelps,2006,Economics,Columbia University,New York NY,USA,1933-07-26,NA,male,Evanston IL,USA,US,NA,NA,NA,NA,1,"""for his analysis of intertemporal tradeoffs in macroeconomic policy""",USA,Evanston IL,NA,NA,New York NY,USA
808,Orhan,Pamuk,2006,Literature,NA,NA,NA,1952-06-07,NA,male,Istanbul,Turkey,TR,NA,NA,NA,NA,1,"""who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures""",Turkey,Istanbul,NA,NA,NA,NA
809,Muhammad,Yunus,2006,Peace,NA,NA,NA,1940-06-28,NA,male,Chittagong,Bangladesh,BD,NA,NA,NA,NA,2,"""for their efforts to create economic and social development from below""",British India (now Bangladesh),Chittagong,NA,NA,NA,NA
810,Grameen Bank,NA,2006,Peace,NA,NA,NA,NA,NA,org,NA,NA,NA,NA,NA,NA,NA,2,"""for their efforts to create economic and social development from below""",NA,NA,NA,NA,NA,NA
811,Mario R.,Capecchi,2007,Medicine,University of Utah,Salt Lake City UT,USA,1937-10-06,NA,male,Verona,Italy,IT,NA,NA,NA,NA,3,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells""",Italy,Verona,NA,NA,Salt Lake City UT,USA
812,Sir Martin J.,Evans,2007,Medicine,Cardiff University,Cardiff,United Kingdom,1941-01-01,NA,male,Stroud,United Kingdom,GB,NA,NA,NA,NA,3,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells""",United Kingdom,Stroud,NA,NA,Cardiff,United Kingdom
813,Oliver,Smithies,2007,Medicine,University of North Carolina,Chapel Hill NC,USA,1925-06-23,2017-01-10,male,Halifax,United Kingdom,GB,Chapel Hill NC,USA,US,NA,3,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells""",United Kingdom,Halifax,USA,Chapel Hill NC,Chapel Hill NC,USA
817,Doris,Lessing,2007,Literature,NA,NA,NA,1919-10-22,2013-11-17,female,Kermanshah,Iran,IR,London,United Kingdom,GB,NA,1,"""that epicist of the female experience who with scepticism fire and visionary power has subjected a divided civilisation to scrutiny""",Persia (now Iran),Kermanshah,United Kingdom,London,NA,NA
818,Intergovernmental Panel on Climate Change,NA,2007,Peace,NA,NA,NA,NA,NA,org,NA,NA,NA,NA,NA,NA,NA,2,"""for their efforts to build up and disseminate greater knowledge about man-made climate change and to lay the foundations for the measures that are needed to counteract such change""",NA,NA,NA,NA,NA,NA
819,Al,Gore,2007,Peace,NA,NA,NA,1948-03-31,NA,male,Washington DC,USA,US,NA,NA,NA,NA,2,"""for their efforts to build up and disseminate greater knowledge about man-made climate change and to lay the foundations for the measures that are needed to counteract such change""",USA,Washington DC,NA,NA,NA,NA
820,Leonid,Hurwicz,2007,Economics,University of Minnesota,Minneapolis MN,USA,1917-08-21,2008-06-24,male,Moscow,Russia,RU,Minneapolis MN,USA,US,NA,3,"""for having laid the foundations of mechanism design theory""",Russia,Moscow,USA,Minneapolis MN,Minneapolis MN,USA
821,Eric S.,Maskin,2007,Economics,Institute for Advanced Study,Princeton NJ,USA,1950-12-12,NA,male,New York NY,USA,US,NA,NA,NA,NA,3,"""for having laid the foundations of mechanism design theory""",USA,New York NY,NA,NA,Princeton NJ,USA
822,Roger B.,Myerson,2007,Economics,University of Chicago,Chicago IL,USA,1951-03-29,NA,male,Boston MA,USA,US,NA,NA,NA,NA,3,"""for having laid the foundations of mechanism design theory""",USA,Boston MA,NA,NA,Chicago IL,USA
823,Harald,zur Hausen,2008,Medicine,German Cancer Research Center,Heidelberg,Germany,1936-03-11,NA,male,Gelsenkirchen,Germany,DE,NA,NA,NA,NA,2,"""for his discovery of human papilloma viruses causing cervical cancer""",Germany,Gelsenkirchen,NA,NA,Heidelberg,Germany
824,Françoise,Barré-Sinoussi,2008,Medicine,Regulation of Retroviral Infections Unit Virology Department Institut Pasteur,Paris,France,1947-07-30,NA,female,Paris,France,FR,NA,NA,NA,NA,4,"""for their discovery of human immunodeficiency virus""",France,Paris,NA,NA,Paris,France
825,Luc,Montagnier,2008,Medicine,World Foundation for AIDS Research and Prevention,Paris,France,1932-08-18,NA,male,Chabris,France,FR,NA,NA,NA,NA,4,"""for their discovery of human immunodeficiency virus""",France,Chabris,NA,NA,Paris,France
832,Jean-Marie Gustave,Le Clézio,2008,Literature,NA,NA,NA,1940-04-13,NA,male,Nice,France,FR,NA,NA,NA,NA,1,"""author of new departures poetic adventure and sensual ecstasy explorer of a humanity beyond and below the reigning civilization""",France,Nice,NA,NA,NA,NA
833,Martti,Ahtisaari,2008,Peace,NA,NA,NA,1937-06-23,NA,male,Vyborg,Finland,FI,NA,NA,NA,NA,1,"""for his important efforts on several continents and over more than three decades to resolve international conflicts""",Finland,Viipuri (now Vyborg),NA,NA,NA,NA
834,Paul,Krugman,2008,Economics,Princeton University,Princeton NJ,USA,1953-02-28,NA,male,New York NY,USA,US,NA,NA,NA,NA,1,"""for his analysis of trade patterns and location of economic activity""",USA,New York NY,NA,NA,Princeton NJ,USA
835,Elizabeth H.,Blackburn,2009,Medicine,University of California,San Francisco CA,USA,1948-11-26,NA,female,Hobart Tasmania,Australia,AU,NA,NA,NA,NA,3,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""",Australia,Hobart Tasmania,NA,NA,San Francisco CA,USA
836,Carol W.,Greider,2009,Medicine,Johns Hopkins University School of Medicine,Baltimore MD,USA,1961-04-15,NA,female,San Diego CA,USA,US,NA,NA,NA,NA,3,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""",USA,San Diego CA,NA,NA,Baltimore MD,USA
837,Jack W.,Szostak,2009,Medicine,Harvard Medical School,Boston MA,USA,1952-11-09,NA,male,London,United Kingdom,GB,NA,NA,NA,NA,3,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""",United Kingdom,London,NA,NA,Boston MA,USA
844,Herta,Müller,2009,Literature,NA,NA,NA,1953-08-17,NA,female,Nitzkydorf Banat,Romania,RO,NA,NA,NA,NA,1,"""who with the concentration of poetry and the frankness of prose depicts the landscape of the dispossessed""",Romania,Nitzkydorf Banat,NA,NA,NA,NA
845,Barack,Obama,2009,Peace,NA,NA,NA,1961-08-04,NA,male,Honolulu HI,USA,US,NA,NA,NA,NA,1,"""for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples""",USA,Honolulu HI,NA,NA,NA,NA
846,Elinor,Ostrom,2009,Economics,Indiana University,Bloomington IN,USA,1933-08-07,2012-06-12,female,Los Angeles CA,USA,US,Bloomington IN,USA,US,NA,2,"""for her analysis of economic governance especially the commons""",USA,Los Angeles CA,USA,Bloomington IN,Bloomington IN,USA
847,Oliver E.,Williamson,2009,Economics,University of California,Berkeley CA,USA,1932-09-27,NA,male,Superior WI,USA,US,NA,NA,NA,NA,2,"""for his analysis of economic governance especially the boundaries of the firm""",USA,Superior WI,NA,NA,Berkeley CA,USA
848,Robert G.,Edwards,2010,Medicine,University of Cambridge,Cambridge,United Kingdom,1925-09-27,2013-04-10,male,Batley,United Kingdom,GB,Cambridge,United Kingdom,GB,NA,1,"""for the development of in vitro fertilization""",United Kingdom,Batley,United Kingdom,Cambridge,Cambridge,United Kingdom
854,Mario,Vargas Llosa,2010,Literature,NA,NA,NA,1936-03-28,NA,male,Arequipa,Peru,PE,NA,NA,NA,NA,1,"""for his cartography of structures of power and his trenchant images of the individual's resistance revolt and defeat""",Peru,Arequipa,NA,NA,NA,NA
855,Liu,Xiaobo,2010,Peace,NA,NA,NA,1955-12-28,2017-07-13,male,Changchun,China,CN,Shenyang,China,CN,NA,1,"""for his long and non-violent struggle for fundamental human rights in China""",China,Changchun,China,Shenyang,NA,NA
856,Peter A.,Diamond,2010,Economics,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,1940-04-29,NA,male,New York NY,USA,US,NA,NA,NA,NA,3,"""for their analysis of markets with search frictions""",USA,New York NY,NA,NA,Cambridge MA,USA
857,Dale T.,Mortensen,2010,Economics,Northwestern University,Evanston IL,USA,1939-02-02,2014-01-09,male,Enterprise OR,USA,US,Wilmette IL,USA,US,NA,3,"""for their analysis of markets with search frictions""",USA,Enterprise OR,USA,Wilmette IL,Evanston IL,USA
858,Christopher A.,Pissarides,2010,Economics,London School of Economics and Political Science,London,United Kingdom,1948-02-20,NA,male,Nicosia,Cyprus,CY,NA,NA,NA,NA,3,"""for their analysis of markets with search frictions""",Cyprus,Nicosia,NA,NA,London,United Kingdom
861,Bruce A.,Beutler,2011,Medicine,University of Texas Southwestern Medical Center at Dallas,Dallas TX,USA,1957-12-29,NA,male,Chicago IL,USA,US,NA,NA,NA,NA,4,"""for their discoveries concerning the activation of innate immunity""",USA,Chicago IL,NA,NA,Dallas TX,USA
862,Jules A.,Hoffmann,2011,Medicine,University of Strasbourg,Strasbourg,France,1941-08-02,NA,male,Echternach,Luxembourg,LU,NA,NA,NA,NA,4,"""for their discoveries concerning the activation of innate immunity""",Luxembourg,Echternach,NA,NA,Strasbourg,France
863,Ralph M.,Steinman,2011,Medicine,Rockefeller University,New York NY,USA,1943-01-14,2011-09-30,male,Montreal,Canada,CA,NA,NA,NA,NA,2,"""for his discovery of the dendritic cell and its role in adaptive immunity""",Canada,Montreal,NA,NA,New York NY,USA
868,Tomas,Tranströmer,2011,Literature,NA,NA,NA,1931-04-15,2015-03-26,male,Stockholm,Sweden,SE,Stockholm,Sweden,SE,NA,1,"""because through his condensed translucent images he gives us fresh access to reality""",Sweden,Stockholm,Sweden,Stockholm,NA,NA
869,Ellen,Johnson Sirleaf,2011,Peace,NA,NA,NA,1938-10-29,NA,female,Monrovia,Liberia,LR,NA,NA,NA,NA,3,"""for their non-violent struggle for the safety of women and for womens rights to full participation in peace-building work""",Liberia,Monrovia,NA,NA,NA,NA
870,Leymah,Gbowee,2011,Peace,NA,NA,NA,1972-02-01,NA,female,Monrovia,Liberia,LR,NA,NA,NA,NA,3,"""for their non-violent struggle for the safety of women and for womens rights to full participation in peace-building work""",Liberia,Monrovia,NA,NA,NA,NA
871,Tawakkol,Karman,2011,Peace,NA,NA,NA,1979-02-07,NA,female,Ta'izz,Yemen,YE,NA,NA,NA,NA,3,"""for their non-violent struggle for the safety of women and for womens rights to full participation in peace-building work""",Yemen,Ta'izz,NA,NA,NA,NA
872,Thomas J.,Sargent,2011,Economics,New York University,New York NY,USA,1943-07-19,NA,male,Pasadena CA,USA,US,NA,NA,NA,NA,2,"""for their empirical research on cause and effect in the macroeconomy""",USA,Pasadena CA,NA,NA,New York NY,USA
873,Christopher A.,Sims,2011,Economics,Princeton University,Princeton NJ,USA,1942-10-21,NA,male,Washington DC,USA,US,NA,NA,NA,NA,2,"""for their empirical research on cause and effect in the macroeconomy""",USA,Washington DC,NA,NA,Princeton NJ,USA
874,Sir John B.,Gurdon,2012,Medicine,Gurdon Institute,Cambridge,United Kingdom,1933-10-02,NA,male,Dippenhall,United Kingdom,GB,NA,NA,NA,NA,2,"""for the discovery that mature cells can be reprogrammed to become pluripotent""",United Kingdom,Dippenhall,NA,NA,Cambridge,United Kingdom
875,Shinya,Yamanaka,2012,Medicine,Kyoto University,Kyoto,Japan,1962-09-04,NA,male,Osaka,Japan,JP,NA,NA,NA,NA,2,"""for the discovery that mature cells can be reprogrammed to become pluripotent""",Japan,Osaka,NA,NA,Kyoto,Japan
880,Mo,Yan,2012,Literature,NA,NA,NA,1955-02-02,NA,male,Gaomi,China,CN,NA,NA,NA,NA,1,"""who with hallucinatory realism merges folk tales history and the contemporary""",China,Gaomi,NA,NA,NA,NA
881,European Union (EU),NA,2012,Peace,NA,NA,NA,NA,NA,org,NA,NA,NA,NA,NA,NA,NA,1,"""for over six decades contributed to the advancement of peace and reconciliation democracy and human rights in Europe""",NA,NA,NA,NA,NA,NA
882,Alvin E.,Roth,2012,Economics,Harvard University,Cambridge MA,USA,1951-12-18,NA,male,New York NY,USA,US,NA,NA,NA,NA,2,"""for the theory of stable allocations and the practice of market design""",USA,New York NY,NA,NA,Cambridge MA,USA
883,Lloyd S.,Shapley,2012,Economics,University of California,Los Angeles CA,USA,1923-06-02,2016-03-12,male,Cambridge MA,USA,US,Tucson AZ,USA,US,NA,2,"""for the theory of stable allocations and the practice of market design""",USA,Cambridge MA,USA,Tucson AZ,Los Angeles CA,USA
884,James E.,Rothman,2013,Medicine,Yale University,New Haven CT,USA,1950-11-03,NA,male,Haverhill MA,USA,US,NA,NA,NA,NA,3,"""for their discoveries of machinery regulating vesicle traffic a major transport system in our cells""",USA,Haverhill MA,NA,NA,New Haven CT,USA
885,Randy W.,Schekman,2013,Medicine,University of California,Berkeley CA,USA,1948-12-30,NA,male,St. Paul MN,USA,US,NA,NA,NA,NA,3,"""for their discoveries of machinery regulating vesicle traffic a major transport system in our cells""",USA,St. Paul MN,NA,NA,Berkeley CA,USA
886,Thomas C.,Südhof,2013,Medicine,Stanford University,Stanford CA,USA,1955-12-22,NA,male,Göttingen,Germany,DE,NA,NA,NA,NA,3,"""for their discoveries of machinery regulating vesicle traffic a major transport system in our cells""",Germany,Göttingen,NA,NA,Stanford CA,USA
892,Alice,Munro,2013,Literature,NA,NA,NA,1931-07-10,NA,female,Wingham,Canada,CA,NA,NA,NA,NA,1,"""master of the contemporary short story""",Canada,Wingham,NA,NA,NA,NA
893,Organisation for the Prohibition of Chemical Weapons,NA,2013,Peace,NA,NA,NA,NA,NA,org,NA,NA,NA,NA,NA,NA,NA,1,"""for its extensive efforts to eliminate chemical weapons""",NA,NA,NA,NA,NA,NA
894,Eugene F.,Fama,2013,Economics,University of Chicago,Chicago IL,USA,1939-02-14,NA,male,Boston MA,USA,US,NA,NA,NA,NA,3,"""for their empirical analysis of asset prices""",USA,Boston MA,NA,NA,Chicago IL,USA
895,Lars Peter,Hansen,2013,Economics,University of Chicago,Chicago IL,USA,1952-10-26,NA,male,Urbana IL,USA,US,NA,NA,NA,NA,3,"""for their empirical analysis of asset prices""",USA,Urbana IL,NA,NA,Chicago IL,USA
896,Robert J.,Shiller,2013,Economics,Yale University,New Haven CT,USA,1946-03-29,NA,male,Detroit MI,USA,US,NA,NA,NA,NA,3,"""for their empirical analysis of asset prices""",USA,Detroit MI,NA,NA,New Haven CT,USA
903,John,O'Keefe,2014,Medicine,University College,London,United Kingdom,1939-11-18,NA,male,New York NY,USA,US,NA,NA,NA,NA,2,"""for their discoveries of cells that constitute a positioning system in the brain""",USA,New York NY,NA,NA,London,United Kingdom
904,May-Britt,Moser,2014,Medicine,Norwegian University of Science and Technology (NTNU),Trondheim,Norway,1963-01-04,NA,female,Fosnavåg,Norway,NO,NA,NA,NA,NA,4,"""for their discoveries of cells that constitute a positioning system in the brain""",Norway,Fosnavåg,NA,NA,Trondheim,Norway
905,Edvard I.,Moser,2014,Medicine,Norwegian University of Science and Technology (NTNU),Trondheim,Norway,1962-04-27,NA,male,Ålesund,Norway,NO,NA,NA,NA,NA,4,"""for their discoveries of cells that constitute a positioning system in the brain""",Norway,Ålesund,NA,NA,Trondheim,Norway
912,Patrick,Modiano,2014,Literature,NA,NA,NA,1945-07-30,NA,male,Paris,France,FR,NA,NA,NA,NA,1,"""for the art of memory with which he has evoked the most ungraspable human destinies and
uncovered the life-world of the occupation""",France,Paris,NA,NA,NA,NA
913,Kailash,Satyarthi,2014,Peace,NA,NA,NA,1954-01-11,NA,male,Vidisha,India,IN,NA,NA,NA,NA,2,"""for their struggle against the suppression of children and young people and for the right of all children to education""",India,Vidisha,NA,NA,NA,NA
914,Malala,Yousafzai,2014,Peace,NA,NA,NA,1997-07-12,NA,female,Mingora,Pakistan,PK,NA,NA,NA,NA,2,"""for their struggle against the suppression of children and young people and for the right of all children to education""",Pakistan,Mingora,NA,NA,NA,NA
915,Jean,Tirole,2014,Economics,Toulouse School of Economics (TSE),Toulouse,France,1953-08-09,NA,male,Troyes,France,FR,NA,NA,NA,NA,1,"""for his analysis of market power and regulation""",France,Troyes,NA,NA,Toulouse,France
916,William C.,Campbell,2015,Medicine,Drew University,Madison NJ,USA,1930-06-28,NA,male,Ramelton,Ireland,IE,NA,NA,NA,NA,4,"""for their discoveries concerning a novel therapy against infections caused by roundworm parasites""",Ireland,Ramelton,NA,NA,Madison NJ,USA
917,Satoshi,&#332;mura,2015,Medicine,Kitasato University,Tokyo,Japan,1935-07-12,NA,male,Yamanashi Prefecture,Japan,JP,NA,NA,NA,NA,4,"""for their discoveries concerning a novel therapy against infections caused by roundworm parasites""",Japan,Yamanashi Prefecture,NA,NA,Tokyo,Japan
918,Tu,Youyou,2015,Medicine,China Academy of Traditional Chinese Medicine,Beijing,China,1930-12-30,NA,female,Zhejiang Ningbo,China,CN,NA,NA,NA,NA,2,"""for her discoveries concerning a novel therapy against Malaria""",China,Zhejiang Ningbo,NA,NA,Beijing,China
