id,firstname,surname,year,category,affiliation,city,country,born_date,died_date,gender,born_city,born_country,born_country_code,died_city,died_country,died_country_code,overall_motivation,share,motivation,born_country_original,born_city_original,died_country_original,died_city_original,city_original,country_original
562,Carlos Filipe Ximenes,Belo,1996,Peace,NA,NA,NA,1948-02-03,NA,male,Wailacama,East Timor,TL,NA,NA,NA,NA,2,"""for their work towards a just and peaceful solution to the conflict in East Timor""",East Timor,Wailacama,NA,NA,NA,NA
563,José,Ramos-Horta,1996,Peace,NA,NA,NA,1949-12-26,NA,male,Dili,East Timor,TL,NA,NA,NA,NA,2,"""for their work towards a just and peaceful solution to the conflict in East Timor""",East Timor,Dili,NA,NA,NA,NA
564,International Campaign to Ban Landmines,NA,1997,Peace,NA,NA,NA,NA,NA,org,NA,NA,NA,NA,NA,NA,NA,2,"""for their efforts to ban and remove anti-personnel landmines""",NA,NA,NA,NA,NA,NA
565,Jody,Williams,1997,Peace,NA,NA,NA,1950-10-09,NA,female,Putney VT,USA,US,NA,NA,NA,NA,2,"""for their work for the banning and clearing of anti-personnel mines""",USA,Putney VT,NA,NA,NA,NA
566,John,Hume,1998,Peace,NA,NA,NA,1937-01-18,NA,male,Londonderry,Northern Ireland,GB,NA,NA,NA,NA,2,"""for their efforts to find a peaceful solution to the conflict in Northern Ireland""",Northern Ireland,Londonderry,NA,NA,NA,NA
567,David,Trimble,1998,Peace,NA,NA,NA,1944-10-15,NA,male,Belfast,Northern Ireland,GB,NA,NA,NA,NA,2,"""for their efforts to find a peaceful solution to the conflict in Northern Ireland""",Northern Ireland,Belfast,NA,NA,NA,NA
568,Médecins Sans Frontières,NA,1999,Peace,NA,NA,NA,NA,NA,org,NA,NA,NA,NA,NA,NA,NA,1,"""in recognition of the organisation's pioneering humanitarian work on several continents""",NA,NA,NA,NA,NA,NA
569,Sully,Prudhomme,1901,Literature,NA,NA,NA,1839-03-16,1907-09-07,male,Paris,France,FR,Châtenay,France,FR,NA,1,"""in special recognition of his poetic composition which gives evidence of lofty idealism artistic perfection and a rare combination of the qualities of both heart and intellect""",France,Paris,France,Châtenay,NA,NA
571,Theodor,Mommsen,1902,Literature,NA,NA,NA,1817-11-30,1903-11-01,male,Garding,Germany,DE,Charlottenburg,Germany,DE,NA,1,"""the greatest living master of the art of historical writing with special reference to his monumental work <I>A history of Rome</I>""",Schleswig (now Germany),Garding,Germany,Charlottenburg,NA,NA
572,Bjørnstjerne,Bjørnson,1903,Literature,NA,NA,NA,1832-12-08,1910-04-26,male,Kvikne,Norway,NO,Paris,France,FR,NA,1,"""as a tribute to his noble magnificent and versatile poetry which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit""",Norway,Kvikne,France,Paris,NA,NA
